x,y,z,class
0.020235255,0.010634899,-0.009091377,M
-0.03436929,-0.005684853,0.051114082,M
-0.454209983,-0.259390831,0.78754425,M
0.386662573,-0.112259865,0.199266434,M
-0.532898605,0.216944695,0.521986961,M
0.219896555,-1.155013084,2.175564766,M
-0.390087545,-1.322173119,1.418489695,M
-0.35224247,-0.73035574,-2.732517719,M
0.689292431,-0.98544383,1.191982269,M
0.505387306,-1.084670067,0.338993549,M
0.423047543,-1.51287961,0.373258114,M
0.588283539,-1.452507973,0.161612034,M
1.077528954,-1.972651005,0.301784992,M
0.854640961,-1.521948338,0.4715271,M
0.780893564,-1.266793251,0.53400135,M
0.498307705,-0.936344624,0.379564762,M
0.531534553,-0.903118134,0.809303761,M
0.441009283,-0.769693375,0.557821274,M
0.372442722,-0.651246071,0.53057003,M
0.405601442,-0.565201759,0.647562027,M
0.368034124,-0.541823387,0.477886677,M
0.315639198,-0.466713905,0.501255035,M
0.335707545,-0.436754704,0.514451981,M
0.115748197,-0.351672173,0.560820103,M
0.136241257,-0.07253933,-1.207458019,M
0.499645412,-0.259888649,0.913360596,M
1.227612138,-0.561968327,0.66388464,M
-0.035140038,-0.411284924,0.285748482,M
-0.223914132,0.707297325,-0.598662376,M
1.533378601,-4.083924294,3.249129772,M
0.668138385,-2.751431942,2.669535637,M
0.995438457,-2.010355949,1.887923717,M
1.169942141,-1.85217762,2.486208916,M
0.015734673,-1.541619301,2.263432026,M
0.700314701,-1.644379616,1.344810009,M
0.903411508,-1.825001717,1.365922451,M
4.079329491,-2.839951038,3.505228519,M
-0.367401838,-1.27409935,2.596237421,M
-4.449290276,-0.855587959,-3.085412979,M
-0.784240484,-3.013382912,7.307979107,M
-2.110188723,-1.84797287,5.141484261,M
-1.764249802,-0.689003944,-4.360346794,M
-4.402256012,-1.524549007,1.479379654,M
-2.194899082,-0.554691315,3.85067606,M
-3.705947399,-0.251340866,0.018637657,M
-5.463887215,1.019348145,-0.334489346,M
-0.577588558,1.258677006,3.139892578,M
1.815342665,-1.466682434,4.583317757,M
-2.276310682,2.689631462,-0.449014664,M
-9.692716599,-0.394547939,-4.042895317,M
-5.23877573,1.981190681,3.057801247,M
2.970265627,-0.357792139,1.877924919,M
3.289542198,-0.852270126,5.042131424,M
-0.429220676,-0.090106487,4.587466717,M
-4.476462841,-1.806894302,2.047101736,M
-11.42352772,-0.898509026,-3.718502522,M
-5.388009071,3.950901985,0.737288952,M
3.279284477,-0.89644599,4.411668777,M
-0.239566296,-2.497334003,4.218203545,M
-0.678272247,-0.332282543,3.503727436,M
-2.933200359,0.087696314,-1.642247677,M
-2.267522812,-4.550595284,4.971916199,M
-4.166275024,-3.047975779,4.16097784,M
-0.975395262,-1.926441193,7.000266075,M
1.014001966,0.198319435,-5.091249466,M
-0.682067096,-0.57928741,4.926897049,M
-1.999201417,-3.284797192,5.774957657,M
-0.647815287,-1.215954542,3.543354988,M
-2.654116631,0.527983427,5.620336533,M
0.64848876,-0.900178671,0.376680374,M
2.164363384,-1.195072174,4.010014534,M
-1.645496011,0.380779028,4.419156075,M
-1.89896667,0.124365807,2.874523163,M
-1.217057586,0.393459082,2.328460217,M
-0.016456187,0.021228313,3.174434185,M
-0.418030143,0.240328312,1.965349197,M
0.416403055,-0.160902739,2.432237148,M
0.344397426,-0.218989134,2.7734828,M
0.016824841,0.316706419,2.311616421,M
0.467358828,-0.243085384,2.313049793,M
0.388198376,-0.392703295,2.988872528,M
0.055179715,0.036964417,1.416406155,M
0.092905581,0.7541852,1.912327766,M
0.179648519,0.228843927,1.287421703,M
-0.079280853,0.035546303,1.322539806,M
-0.327265471,0.020385742,1.375817299,M
-0.099875122,-0.001740456,1.563617229,M
-0.177065834,-0.059030533,1.394609928,M
-0.370213777,0.13525486,1.594007969,M
-0.163085371,0.163916349,1.014541149,M
-0.239968777,-1.190003633,2.426803589,M
-0.598486543,-0.860432863,1.673125744,M
